Size	Merge Sort	QUICK sORT 
97600	0.014266	0.013680
97700	0.014182	0.014299
97800	0.014608	0.013933
97900	0.014948	0.014416
98000	0.014496	0.013667
98100	0.014349	0.014616
98200	0.015891	0.015367
98300	0.015240	0.014981
98400	0.015098	0.014639
98500	0.017729	0.015548
98600	0.014898	0.014847
98700	0.015364	0.014431
98800	0.015279	0.014682
98900	0.015373	0.014352
99000	0.014971	0.014736
99100	0.015014	0.014380
99200	0.014954	0.014645
99300	0.014968	0.014624
99400	0.014997	0.014441
99500	0.015109	0.014960
99600	0.015229	0.014273
99700	0.015322	0.014914
99800	0.015284	0.014649
99900	0.015765	0.014201
100000	0.015362	0.015146
100100	0.015253	0.014823
